epoch,test_loss,train_loss
1,1.0033096628529685,0.9603361579028827
2,0.9936745306667016,0.9444478699403216
3,0.9929109933424969,0.93303000079877
4,0.9840968208653587,0.9200805028279623
5,0.9810327771975069,0.9065446583337562
6,0.9769579293776531,0.891478908616443
7,0.9714213004525827,0.8724322164628548
8,0.9561975726059505,0.8504073762308412
9,0.9714169140372958,0.8249824889947586
10,0.9557919888472071,0.8014012019147553
11,0.9844245609580254,0.7701934649577744
12,1.0244398183968602,0.7424504734595001
13,0.9854694206495674,0.7131150538530152
14,1.0081357968096831,0.6790703700263371
15,1.0223482798556893,0.6465609974061796
16,1.0594707289520575,0.6222381522296627
17,1.054436773669963,0.5857735642398051
18,1.1151233260728874,0.5620371280984053
19,1.0589193960233612,0.5331115437146922
20,1.1969760504304146,0.5053214580013154
21,1.124846516823282,0.4797970950603485
22,1.1660762490058432,0.45356415381573273
23,1.1287651214064385,0.4321713596389891
24,1.1673773013207378,0.41336292504917743
25,1.2646939508160766,0.3881794049594676
26,1.27079418453635,0.36741772653578325
27,1.2136094533667272,0.34919330885378735
28,1.3292440506724679,0.3320785861760763
29,1.3036630512500296,0.30714391731929025
30,1.3075033769923814,0.2942646041859028
